date,co2
1958/3/29,316.1
1958/4/5,317.3
1958/4/12,317.6
1958/4/19,317.5
1958/4/26,316.4
1958/5/3,316.9
1958/5/10,
1958/5/17,317.5
1958/5/24,317.9
1958/5/31,
1958/6/7,
1958/6/14,
1958/6/21,
1958/6/28,
1958/7/5,315.8
1958/7/12,315.8
1958/7/19,315.4
1958/7/26,315.5
1958/8/2,315.6
1958/8/9,315.1
1958/8/16,315
1958/8/23,
1958/8/30,314.1
1958/9/6,313.5
1958/9/13,
1958/9/20,
1958/9/27,
1958/10/4,
1958/10/11,
1958/10/18,
1958/10/25,
1958/11/1,
1958/11/8,313
1958/11/15,313.2
1958/11/22,313.5
1958/11/29,314
1958/12/6,314.5
1958/12/13,314.4
1958/12/20,314.7
1958/12/27,315.2
1959/1/3,315.2
1959/1/10,315.5
1959/1/17,315.6
1959/1/24,315.8
1959/1/31,315.4
1959/2/7,
1959/2/14,316.9
1959/2/21,316.6
1959/2/28,316.6
1959/3/7,316.8
1959/3/14,
1959/3/21,316.7
1959/3/28,316.7
1959/4/4,317.7
1959/4/11,317.1
1959/4/18,317.6
1959/4/25,318.3
1959/5/2,318.2
1959/5/9,318.7
1959/5/16,318
1959/5/23,318.4
1959/5/30,
1959/6/6,318.5
1959/6/13,318.1
1959/6/20,317.8
1959/6/27,317.7
1959/7/4,316.8
1959/7/11,316.8
1959/7/18,316.4
1959/7/25,316.1
1959/8/1,315.6
1959/8/8,314.9
1959/8/15,
1959/8/22,315
1959/8/29,314.1
1959/9/5,314.4
1959/9/12,313.9
1959/9/19,313.5
1959/9/26,313.5
1959/10/3,313
1959/10/10,313.1
1959/10/17,313.4
1959/10/24,313.4
1959/10/31,314.1
1959/11/7,314.4
1959/11/14,314.8
1959/11/21,315.2
1959/11/28,315.1
1959/12/5,315
1959/12/12,315.6
1959/12/19,315.8
1959/12/26,315.7
1960/1/2,315.7
1960/1/9,316.4
1960/1/16,316.7
1960/1/23,316.5
1960/1/30,316.6
1960/2/6,316.6
1960/2/13,316.9
1960/2/20,317.4
1960/2/27,317
1960/3/5,316.9
1960/3/12,317.7
1960/3/19,318
1960/3/26,317.7
1960/4/2,318.6
1960/4/9,319.3
1960/4/16,319
1960/4/23,319
1960/4/30,319.7
1960/5/7,319.9
1960/5/14,319.8
1960/5/21,320
1960/5/28,320
1960/6/4,319.4
1960/6/11,320
1960/6/18,319.4
1960/6/25,319
1960/7/2,318.1
1960/7/9,318.6
1960/7/16,318.4
1960/7/23,317.9
1960/7/30,317.3
1960/8/6,316.6
1960/8/13,316.7
1960/8/20,315.1
1960/8/27,314.7
1960/9/3,314.7
1960/9/10,314.5
1960/9/17,314.2
1960/9/24,313.3
1960/10/1,313.6
1960/10/8,313.3
1960/10/15,313.9
1960/10/22,314.2
1960/10/29,314.2
1960/11/5,314.5
1960/11/12,315.1
1960/11/19,315.1
1960/11/26,315.4
1960/12/3,315.8
1960/12/10,316
1960/12/17,316.2
1960/12/24,316.4
1960/12/31,316.6
1961/1/7,316.7
1961/1/14,317
1961/1/21,317
1961/1/28,317
1961/2/4,317
1961/2/11,317.7
1961/2/18,317.9
1961/2/25,318
1961/3/4,318
1961/3/11,318.5
1961/3/18,318.9
1961/3/25,318.7
1961/4/1,319.4
1961/4/8,319.5
1961/4/15,318.9
1961/4/22,319.7
1961/4/29,319.6
1961/5/6,320.6
1961/5/13,320.4
1961/5/20,320.6
1961/5/27,320.3
1961/6/3,320
1961/6/10,320
1961/6/17,319.6
1961/6/24,319.4
1961/7/1,319.2
1961/7/8,319
1961/7/15,318.4
1961/7/22,317.1
1961/7/29,317.9
1961/8/5,317.9
1961/8/12,317.3
1961/8/19,316.7
1961/8/26,315.2
1961/9/2,315.2
1961/9/9,314.9
1961/9/16,314.5
1961/9/23,315
1961/9/30,315.6
1961/10/7,314.9
1961/10/14,315.4
1961/10/21,315.4
1961/10/28,315.7
1961/11/4,315.8
1961/11/11,315.7
1961/11/18,316.2
1961/11/25,316.5
1961/12/2,316.5
1961/12/9,317
1961/12/16,316.9
1961/12/23,317.1
1961/12/30,317.4
